X2	Y2
-0.595	0.0436
-0.0076	1.0705
-0.1353	1.4488
0.1456	1.0705
0.6563	2.9619
-0.6716	1.2866
-0.646	0.8002
-0.0587	2.5836
-0.0842	1.1785
-0.2886	1.8811
-0.2374	2.0973
-0.646	0.53
-0.1353	1.2866
-0.4418	-0.2266
0.069	1.6109
-0.9014	-0.9291
0.0434	1.5028
-0.595	0.1517
-0.5694	-0.0104
0.1456	0.6922
-0.1608	1.1245
-0.0076	2.2594
-0.3652	0.4219
-0.4162	0.2598
-0.0076	1.773
-0.2886	0.6922
0.1456	1.8811
-1.2845	-0.0644
-0.8248	-0.1725
0.069	1.827
-0.3396	1.2326
-0.3141	0.9083
0.1456	1.5028
0.069	0.9083
-0.3141	0.9083
-0.1353	1.3947
-0.0076	1.0164
0.0945	2.4215
-0.1608	0.2058
-0.212	1.0705
-0.6716	0.6381
-0.5694	0.53
-0.7482	0.8002
-0.2374	1.3947
-0.3907	-0.2266
-1.259	0.0436
-0.646	-0.767
-0.7226	-0.6049
-0.4673	-0.2806
-0.7482	-0.1185
0.069	0.8002
-0.3907	0.2058
-0.646	1.6109
-0.4928	0.3139
-0.8504	0.2598
-0.6205	0.3679
-0.1608	1.5028
-0.646	0.0436
-0.4673	-0.0104
-0.2374	1.6109
-1.0546	-0.2266
-0.1864	-0.4427
-0.6972	0.6381
-0.0076	2.0973
0.3754	0.9083
-0.8759	-0.6589
-0.212	1.0164
-0.1608	1.2326
0.12	1.4488
-0.7993	-0.9832
0.3754	1.4488
-0.3141	1.0705
0.1711	2.5296
-0.3652	1.0705
-0.0587	2.5836
-0.5694	0.5841
-0.0332	1.2866
-0.4928	-0.4427
-0.1608	1.8811
0.1711	1.1785
0.4265	1.719
-0.1098	1.6109
0.12	1.1785
-0.4418	1.3407
-0.2374	0.8543
0.0179	1.5028
-0.3652	0.3679
-1.2078	-0.3887
-0.1098	0.6381
-0.3396	1.6109
0.0945	2.3675
-0.9014	0.3139
-0.5184	0.9624
-0.4673	-0.0644
-0.0332	0.8543
-0.0332	0.7462
-0.0842	1.1245
-0.4162	0.476
-0.4673	0.8543
-0.1098	0.1517
-0.263	0.6381
-0.5694	0.9624
-0.7482	-0.3347
-0.5439	1.1785
-0.3907	1.5028
-0.2374	1.2866
-0.5439	0.4219
-0.1864	1.2326
0.4776	0.8002
0.1456	0.8543
-0.1098	0.0436
0.1456	0.476
-0.6716	0.3139
-0.2374	0.1517
-0.0842	1.827
-0.8248	0.2058
0.1711	1.0164
0.1966	1.0164
0.3754	1.0164
0.6563	1.2866
-0.212	1.2866
-0.1098	1.773
-0.3652	1.5028
0.5286	1.6649
0.2222	1.1245
-0.212	1.4488
-0.6716	-0.0644
-0.2374	0.476
-0.1864	0.6381
-0.7482	1.1245
-0.263	0.7462
-0.1353	0.8543
-0.927	0.476
-0.4673	0.3139
-0.0332	2.4756
-0.595	1.1245
-0.263	0.8002
-0.3396	0.9083
0.401	2.5296
-0.212	0.8543
-0.0842	1.1245
-0.3907	1.9351
-0.6205	1.6109
-1.7186	-0.6589
-0.646	-1.0372
-0.4418	0.476
-0.5439	-0.2266
-0.0332	0.5841
-0.4928	0.0436
-0.6716	1.2866
-0.4162	0.1517
-0.646	-0.0104
-0.3141	-0.3887
-0.5184	0.1517
-0.1098	-0.1725
-0.5439	0.0436
-0.212	-0.0644
-1.1568	0.1517
-0.1353	0.3139
-0.3141	-0.821
-0.0842	-0.767
-0.6716	1.5568
-0.6716	0.8543
-0.595	0.8002
0.0434	0.5841
0.0945	-1.3074
-0.6716	-0.6049
-0.8248	0.9083
-0.0332	-0.4968
-0.8759	0.2058
-0.4928	0.6381
-0.4418	-1.3074
-0.7993	0.0977
-0.595	-0.821
0.4265	-2.01
-0.5184	-0.1185
-0.4928	0.3679
-0.8248	0.6381
-0.2886	-0.7129
-0.3652	0.1517
-1.31	0.53
-0.8759	0.1517
-1.2078	0.8543
-0.3141	-0.767
-0.4418	-0.5508
-0.3396	0.6922
-0.1353	-0.4427
-1.1824	1.8811
-0.927	0.3139
0.2222	-0.2806
-0.8759	-0.4427
-0.6205	0.5841
-0.5439	0.6922
-0.595	0.9083
-0.8504	1.1245
-0.7482	0.2598
-1.2845	1.5568
-0.646	-0.0644
-1.0546	0.6922
-0.4418	0.1517
-0.4162	0.1517
-0.5184	0.8543
-1.4377	1.3407
-0.7993	1.3407
-0.646	0.0977
-0.7226	1.0705
-0.6205	0.2058
-0.7226	0.2058
-0.3141	0.2598
-0.3141	-1.0912
-0.5694	0.5841
-0.0587	-0.1185
0.0434	-0.1185
-0.2886	-1.4155
-0.7482	-0.0644
-1.3866	1.3947
-0.8504	0.2598
-0.5694	0.2058
-0.2886	0.9624
-0.3396	0.5841
-0.6972	0.9083
-1.0036	0.9083
-0.0842	-1.1453
-0.595	-0.6049
-0.4418	-0.1185
0.4265	-0.6589
0.452	-0.4427
0.4265	-0.9291
0.1456	-0.3887
0.5286	-1.9019
-0.0076	-1.0912
0.6818	-0.6589
0.0179	0.5841
0.8862	-1.1993
-0.6205	-0.1185
0.2222	0.9083
0.0945	-1.6857
0.4776	-1.6857
0.6563	1.2866
0.8351	-0.4968
0.1456	-0.0644
0.3244	-0.7129
0.5542	0.0436
0.6052	0.476
0.3754	-0.9832
0.3754	-0.767
0.3244	-1.2534
0.2732	-1.2534
0.4265	-1.4695
-0.646	0.5841
-0.4162	-0.9291
-0.0076	-0.6589
0.7074	-0.0644
0.5797	0.2058
-0.1353	-1.3615
0.8351	-1.1993
-0.3907	1.3407
-0.1098	-0.8751
0.733	0.4219
0.5542	-0.1725
0.12	-0.767
0.7584	-0.2266
0.2478	0.3139
0.5797	-0.0644
0.5031	-0.3887
0.4265	-1.3074
0.6052	-1.5776
-0.0842	0.0436
0.0179	-0.2266
-0.0842	1.2326
0.3754	-1.0912
-0.0076	0.0436
0.2988	-0.767
-0.0842	-0.3887
0.3244	-0.1185
0.2222	0.0977
0.6308	0.7462
-0.0076	-1.4695
0.5542	0.0436
0.5797	0.0977
0.12	0.2058
0.5286	0.2058
0.5286	-0.9291
1.0649	-1.2534
0.6818	0.3139
-0.1608	-2.064
0.2478	-0.4968
0.8606	-0.4427
0.5542	-0.6589
0.6052	-1.2534
0.401	-2.3342
0.12	-0.9291
-0.0076	-1.0372
-0.0842	-0.9832
0.4776	-0.3347
-0.1864	-1.3615
-0.1864	-2.4964
-0.1353	-1.1453
-0.1608	0.1517
-0.0076	-0.3887
0.6052	0.7462
0.6818	0.0436
0.0434	-1.1993
0.2222	0.0436
0.1456	0.1517
0.8606	1.5028
0.2478	0.2058
0.2478	-0.2806
0.452	0.2058
0.2478	0.6381
-0.212	-0.4968
0.7074	-0.0104
0.4776	-0.0644
0.4265	0.2058
0.4776	0.0977
-0.2886	-0.767
0.5286	-1.0912
0.452	-0.2266
0.0434	-0.7129
-0.3396	-0.0644
0.6818	-0.4427
0.3244	-1.9559
-0.0587	-0.2266
0.3754	-0.9291
0.2988	-1.0372
0.1711	-2.01
0.0945	-0.1725
1.0904	-0.6049
0.1711	-2.3342
0.401	0.2058
0.2732	1.1245
0.9372	-0.0644
0.6052	-0.821
0.2988	-1.0912
0.1711	-1.1993
-0.646	-0.5508
0.2732	-0.3887
0.5286	-0.2806
0.9628	0.2598
0.5286	-0.5508
0.1711	-0.6049
-0.1353	-0.4427
-0.1608	-0.4427
-0.4928	-0.7129
0.2478	0.2598
0.6308	-1.4695
0.3754	-0.821
0.2732	-0.0104
-0.0076	-1.1453
-0.6716	-0.767
-0.5439	0.476
0.0434	1.1245
0.401	-0.3347
0.1711	-1.5236
-0.0076	1.2326
0.452	-0.7129
0.6308	-0.3887
-0.0332	-1.2534
0.4776	0.0977
0.12	-0.8751
-0.0587	-0.9832
-0.1608	-0.0644
-0.0842	0.8543
-0.0332	-1.2534
-0.2374	-0.0104
0.0434	-0.7129
0.1456	-1.4155
0.069	-0.4968
0.1456	-1.2534
0.4776	-0.1185
0.2732	-0.3347
0.7584	-0.4427
-0.1864	-0.4427
0.452	-2.1181
-0.2886	-0.821
0.784	-0.2266
0.0434	-0.1185
0.3754	0.6381
0.3754	0.5841
1.0649	-1.4155
-0.3396	0.1517
-0.212	-0.4427
0.6052	0.3679
-0.1864	-0.2266
0.3754	-1.6317
1.0138	-0.4968
-0.2374	0.53
1.0904	-1.4695
0.3244	0.8002
0.5542	0.0977
0.1456	1.2866
-0.1353	-0.2806
-0.0076	0.53
-0.0076	-1.6317
0.2222	1.2866
0.2478	0.5841
0.9628	-0.3347
-0.5184	-1.0372
0.4776	-0.1725
-0.0587	-0.2806
0.1456	0.2598
0.4265	-0.6589
0.452	-0.1185
