"EII"	"VII"	"EEI"	"VEI"	"EVI"	"VVI"	"EEE"	"VEE"	"EVE"	"VVE"	"EEV"	"VEV"	"EVV"	"VVV"
"10"	-13791,2037357524	-12449,4766452452	-13381,0441778724	-12453,5336964787	-12931,6904994347	-12447,6341187079	-13268,9123036893	-12456,5798083005	-13097,8740662846	-12395,2349019616	-12514,8176153353	-12316,6244716254	-12148,6625331451	-12321,6759154847
"11"	-13429,3748038897	-12280,3678233784	-13243,6433405918	-12284,3447346553	-12806,961185888	-12271,5976032161	-13069,0273788188	-12272,1750715151	-12345,747678004	-11862,5490273818	-12132,5686162259	-11949,1963834982	-12055,0067870956	-11827,188836218
"12"	-13030,1053422971	-11791,3731826247	-12910,0454701049	-11798,1480976932	-12750,8103673155	-11767,9881376493	-12866,758966371	-11803,8450637763	-12515,2212490251	-11721,4673515062	-12063,4623142551	-11581,6299344659	-11887,6668227471	-11629,7809795462
"13"	-12386,7402796434	-11593,8502169819	-12270,8082822334	-11584,6403235903	-11897,6080881477	-11537,0566913397	-12082,0745523591	-11583,8616456528	-11520,7367366812	-11314,3685469097	-11589,1525393445	-11215,7842133165	-11431,2633682642	-11205,5372422228
"14"	-11176,5128089167	-11258,5669952987	-11182,3809865649	-11264,488846855	-11164,9647591555	-11245,5509284409	-11187,9816898536	-11269,6274832612	-11024,4535792761	-11103,2544629854	-10902,9081939131	-10981,9798279724	-10983,4696898818	-11062,4195273938
"15"	-11197,3147107981	-11283,3190421156	-11203,1541212931	-11290,0148831027	-11192,6140557485	-11267,514115054	-11208,7300089512	-11295,8153831512	-11052,0855628525	-11135,9193843935	-10930,5392832212	-11013,0962868853	-11006,0907390384	-11108,6678450042
"16"	-11209,7299725809	-11309,4533395682	-11213,392917742	-11314,9206489566	-11217,5172182827	-11308,3784143237	-11219,9144612249	-11320,1606164662	-11064,6936534301	-11177,9894209581	-10950,6151478881	NA	-11042,5576114497	-11121,8467103463
"17"	-11260,6736035736	-11337,6225258098	-11268,3962902707	-11344,233964528	-11231,5917978123	-11341,4214743468	-11278,8562265187	-11349,6415888013	-11098,3380812492	-11220,3264321178	-10984,1938196512	NA	-11083,8489570923	-11163,4761219286
"18"	-11310,5211290747	-11358,8064027052	-11316,7468200574	-11365,3112609872	-11285,0120387219	-11363,3316712783	-11334,041247021	NA	NA	NA	-11006,3348600881	NA	NA	NA
"19"	-11285,4043596121	NA	-11290,1500788197	NA	NA	NA	-11303,6656093624	NA	NA	NA	-11029,8680969436	NA	NA	NA
"20"	-11283,2332593567	NA	-11286,4452187689	NA	NA	NA	-11293,012543064	NA	NA	NA	-11040,4548124797	NA	NA	NA
