index,Neme,Age,PTelj,PBoldog,PMagany,MKA3,KKA7,age60
3,2,32,25,9,7,1,1,0
4,2,43,23,9,1,2,4,0
8,2,48,20,6,9,3,3,0
25,2,42,24,7,0,2,4,0
28,2,35,21,7,4,1,3,0
30,2,53,23,8,5,1,1,0
41,1,47,28,5,8,3,7,0
54,2,32,22,8,0,2,4,0
57,2,59,24,5,0,3,4,0
60,2,45,19,6,10,3,3,0
62,2,57,24,10,0,2,2,0
65,1,48,30,9,0,2,2,0
67,2,58,23,7,4,1,4,0
70,2,36,25,8,4,1,1,0
76,2,45,12,4,3,3,5,0
80,2,55,29,9,1,2,2,0
92,1,65,19,8,6,3,3,1
95,2,61,24,8,1,2,4,1
103,2,47,24,6,9,3,7,0
105,2,40,27,8,0,2,2,0
113,2,72,21,8,3,1,4,1
119,2,64,26,8,10,1,1,1
123,2,42,24,8,1,2,4,0
129,2,42,27,9,9,1,1,0
131,2,53,20,5,5,3,7,0
134,2,53,23,8,1,2,4,0
141,2,44,17,6,9,3,3,0
143,2,73,26,10,0,2,2,1
146,2,75,18,9,1,3,4,1
147,2,44,27,7,6,1,1,0
152,2,49,19,8,0,3,4,0
162,2,54,17,7,1,3,4,0
167,1,60,25,9,1,2,2,1
169,2,55,25,9,1,2,2,0
171,2,45,22,8,3,1,4,0
174,2,52,27,8,1,2,2,0
176,2,38,24,6,2,3,4,0
179,2,50,20,6,5,3,3,0
182,2,59,28,9,0,2,2,0
184,2,38,24,8,0,2,4,0
189,1,49,22,6,4,1,3,0
191,2,45,17,5,8,3,3,0
192,2,48,17,7,0,3,4,0
199,2,39,23,7,0,2,4,0
201,2,60,26,9,3,2,2,1
211,2,43,25,9,7,1,1,0
216,1,44,22,7,6,1,3,0
220,2,58,16,9,0,3,4,0
222,2,56,28,9,0,2,2,0
223,2,61,25,8,2,2,4,1
230,2,62,26,10,0,2,2,1
235,2,59,25,9,1,2,2,0
238,2,45,15,8,7,3,3,0
241,2,58,16,2,8,3,6,0
250,1,72,13,8,10,3,3,1
257,2,66,22,8,0,2,4,1
258,2,66,24,8,3,1,4,1
268,2,45,22,8,1,2,4,0
271,2,64,24,9,9,1,1,1
272,2,80,23,8,1,2,4,1
278,2,64,24,8,6,1,1,1
279,2,57,27,9,1,2,2,0
