KKA7;stat.;1;2;3
1;Megfigyelt cellagyakorisag;75;0;2
1;Fuggetlenseg eseten vart cellagyakorisag;17.2;35.3;24.5
1;Khi-negyzet komponens;193.37;35.27;20.65
1;Hipergeometrikus valoszinuseg (egyoldalu);0;0;0
1;Hipergeometrikus valoszinuseg (ketoldalu);0;0;0
2;Megfigyelt cellagyakorisag;1;144;2
2;Fuggetlenseg eseten vart cellagyakorisag;32.9;67.3;46.7
2;Khi-negyzet komponens;30.96;87.32;42.83
2;Hipergeometrikus valoszinuseg (egyoldalu);0;0;0
2;Hipergeometrikus valoszinuseg (ketoldalu);0;0;0
3;Megfigyelt cellagyakorisag;19;0;31
3;Fuggetlenseg eseten vart cellagyakorisag;11.2;22.9;15.9
3;Khi-negyzet komponens;5.43;22.9;14.34
3;Hipergeometrikus valoszinuseg (egyoldalu);0.0063;0;0
3;Hipergeometrikus valoszinuseg (ketoldalu);0.0112;0;0
4;Megfigyelt cellagyakorisag;17;85;34
4;Fuggetlenseg eseten vart cellagyakorisag;30.5;62.3;43.2
4;Khi-negyzet komponens;5.95;8.28;1.98
4;Hipergeometrikus valoszinuseg (egyoldalu);0.0006;0;0.0283
4;Hipergeometrikus valoszinuseg (ketoldalu);0.0011;0;0.0521
5;Megfigyelt cellagyakorisag;0;0;32
5;Fuggetlenseg eseten vart cellagyakorisag;7.2;14.7;10.2
5;Khi-negyzet komponens;7.17;14.66;46.8
5;Hipergeometrikus valoszinuseg (egyoldalu);0.0002;0;0
5;Hipergeometrikus valoszinuseg (ketoldalu);0.0003;0;0
6;Megfigyelt cellagyakorisag;0;0;25
6;Fuggetlenseg eseten vart cellagyakorisag;5.6;11.4;8
6;Khi-negyzet komponens;5.6;11.45;36.57
6;Hipergeometrikus valoszinuseg (egyoldalu);0.0015;0;0
6;Hipergeometrikus valoszinuseg (ketoldalu);0.0023;0;0
7;Megfigyelt cellagyakorisag;0;0;33
7;Fuggetlenseg eseten vart cellagyakorisag;7.4;15.1;10.5
7;Khi-negyzet komponens;7.39;15.11;48.27
7;Hipergeometrikus valoszinuseg (egyoldalu);0.0002;0;0
7;Hipergeometrikus valoszinuseg (ketoldalu);0.0003;0;0
