KKA7;1;2;3;4;5;6;7;Group
1;0;1.36;0.92;1.27;3.46;5.36;1.13;male
2;1.36;0;2.32;0.48;4.33;8.84;3.19;male
3;0.92;2.32;0;0.99;1.04;2.54;0.81;male
4;1.27;0.48;0.99;0;2.01;5.7;2.02;male
5;3.46;4.33;1.04;2.01;0;1.37;1.51;male
6;5.36;8.84;2.54;5.7;1.37;0;2.04;male
7;1.13;3.19;0.81;2.02;1.51;2.04;0;male
1;0;1.3;0.59;1.05;3.05;4.68;1.14;female
2;1.3;0;2.32;0.45;3.66;8.49;3.36;female
3;0.59;2.32;0;1.08;1.29;2.39;0.56;female
4;1.05;0.45;1.08;0;1.53;5.41;1.88;female
5;3.05;3.66;1.29;1.53;0;2.16;1.55;female
6;4.68;8.49;2.39;5.41;2.16;0;1.46;female
7;1.14;3.36;0.56;1.88;1.55;1.46;0;female
1;0.01;1.38;0.69;1.19;3.31;4.83;1.2;male_to_female
2;1.29;0;2.32;0.46;3.66;8.46;3.32;male_to_female
3;0.79;2.31;0.03;0.97;0.97;2.34;0.66;male_to_female
4;1.12;0.47;1.12;0;1.53;5.52;2;male_to_female
5;3.22;4.33;1.32;2;0.07;1.48;1.29;male_to_female
6;5.17;8.86;2.65;5.61;2.04;0.03;1.75;male_to_female
7;1.09;3.24;0.68;1.89;1.78;1.71;0.02;male_to_female
