index;Neme;Age;PTelj;PBoldog;PMagany;MKA3;KKA7
3;2;32;25;9;7;1;1
4;2;43;23;9;1;2;4
8;2;48;20;6;9;3;3
25;2;42;24;7;0;2;4
28;2;35;21;7;4;1;3
30;2;53;23;8;5;1;1
41;1;47;28;5;8;3;7
54;2;32;22;8;0;2;4
57;2;59;24;5;0;3;4
60;2;45;19;6;10;3;3
62;2;57;24;10;0;2;2
65;1;48;30;9;0;2;2
67;2;58;23;7;4;1;4
70;2;36;25;8;4;1;1
76;2;45;12;4;3;3;5
80;2;55;29;9;1;2;2
92;1;65;19;8;6;3;3
95;2;61;24;8;1;2;4
103;2;47;24;6;9;3;7
105;2;40;27;8;0;2;2
113;2;72;21;8;3;1;4
119;2;64;26;8;10;1;1
123;2;42;24;8;1;2;4
129;2;42;27;9;9;1;1
131;2;53;20;5;5;3;7
134;2;53;23;8;1;2;4
141;2;44;17;6;9;3;3
143;2;73;26;10;0;2;2
146;2;75;18;9;1;3;4
147;2;44;27;7;6;1;1
152;2;49;19;8;0;3;4
162;2;54;17;7;1;3;4
167;1;60;25;9;1;2;2
169;2;55;25;9;1;2;2
171;2;45;22;8;3;1;4
174;2;52;27;8;1;2;2
176;2;38;24;6;2;3;4
179;2;50;20;6;5;3;3
182;2;59;28;9;0;2;2
184;2;38;24;8;0;2;4
189;1;49;22;6;4;1;3
191;2;45;17;5;8;3;3
192;2;48;17;7;0;3;4
199;2;39;23;7;0;2;4
201;2;60;26;9;3;2;2
211;2;43;25;9;7;1;1
216;1;44;22;7;6;1;3
220;2;58;16;9;0;3;4
222;2;56;28;9;0;2;2
223;2;61;25;8;2;2;4
230;2;62;26;10;0;2;2
235;2;59;25;9;1;2;2
238;2;45;15;8;7;3;3
241;2;58;16;2;8;3;6
250;1;72;13;8;10;3;3
257;2;66;22;8;0;2;4
258;2;66;24;8;3;1;4
268;2;45;22;8;1;2;4
271;2;64;24;9;9;1;1
272;2;80;23;8;1;2;4
278;2;64;24;8;6;1;1
279;2;57;27;9;1;2;2
285;1;54;23;8;5;1;1
291;2;57;26;9;1;2;2
292;1;36;14;2;8;3;6
299;2;66;16;5;2;3;5
305;2;53;23;5;8;3;7
307;2;62;29;9;0;2;2
311;1;51;24;8;7;1;1
318;1;42;24;9;2;2;2
321;2;43;22;9;0;2;4
322;2;37;26;8;4;1;1
324;2;45;24;8;3;1;4
326;2;68;26;10;0;2;2
327;2;56;22;5;9;3;7
332;2;40;20;5;8;3;7
341;2;49;24;9;1;2;2
344;2;53;26;9;1;2;2
345;2;56;28;8;5;1;1
349;2;51;24;9;4;1;1
351;2;61;26;9;9;1;1
356;2;55;25;8;0;2;2
361;2;56;26;8;0;2;2
363;2;48;24;7;1;2;4
369;2;41;25;8;0;2;2
370;2;52;20;7;5;1;3
380;1;51;25;8;2;2;4
396;2;63;24;10;1;2;2
397;2;39;9;2;2;3;5
401;2;52;24;7;5;1;1
402;2;36;25;9;7;1;1
417;2;38;20;7;3;1;4
421;2;43;25;9;7;1;1
426;2;53;26;8;1;2;2
441;2;63;27;9;9;1;1
443;2;46;28;9;0;2;2
449;2;57;26;9;2;2;2
453;2;50;22;9;0;2;4
457;2;47;17;5;3;3;5
466;2;48;22;7;3;1;4
485;2;53;22;6;1;3;4
491;2;61;26;9;1;2;2
492;1;69;15;7;5;3;3
500;2;50;22;8;2;2;4
506;2;73;15;6;2;3;5
510;2;32;23;7;7;1;1
511;1;57;26;9;3;2;2
514;2;54;24;9;2;2;2
517;2;32;24;8;1;2;4
518;2;57;18;8;3;3;4
519;2;55;18;7;10;3;3
522;2;37;25;9;3;1;2
524;2;52;30;9;0;2;2
529;2;47;25;9;0;2;2
531;2;35;17;7;0;3;4
536;2;54;21;5;5;3;7
549;1;57;24;8;2;2;4
552;2;68;24;8;1;2;4
554;2;51;20;9;2;3;4
564;2;43;20;8;6;1;3
568;2;52;20;10;2;3;4
577;2;58;23;8;1;2;4
580;2;43;13;6;2;3;5
583;2;54;29;10;1;2;2
595;2;53;21;7;6;1;3
599;2;58;22;7;4;1;3
603;2;53;28;10;0;2;2
604;2;50;26;10;0;2;2
606;2;48;26;9;0;2;2
608;1;62;21;5;5;3;7
609;2;62;24;8;8;1;1
615;2;55;27;9;2;2;2
621;2;46;22;9;0;2;4
623;1;35;6;3;5;3;6
635;2;69;26;9;3;2;2
641;2;47;26;7;7;1;1
643;2;74;15;3;7;3;6
646;2;65;22;7;2;2;4
647;1;77;17;3;2;3;5
651;1;47;24;5;6;3;7
653;2;45;17;3;9;3;6
659;2;65;25;7;7;1;1
664;2;64;28;10;1;2;2
669;2;52;15;2;8;3;6
673;2;66;27;10;0;2;2
685;1;59;21;8;2;2;4
686;2;45;24;8;1;2;4
687;2;45;24;3;8;3;7
691;1;51;19;2;8;3;6
693;2;50;26;7;4;1;1
695;2;47;24;7;3;1;4
698;2;54;24;8;5;1;1
701;2;42;28;9;5;1;1
707;2;67;24;9;2;2;2
710;2;73;22;8;6;1;1
711;2;54;29;10;0;2;2
712;2;34;6;3;9;3;6
715;2;57;28;9;2;2;2
716;2;62;27;8;8;1;1
718;2;31;14;2;8;3;6
719;2;55;22;8;5;1;1
721;2;66;21;5;5;3;7
724;2;50;27;8;0;2;2
727;2;65;24;7;3;1;4
728;2;65;28;10;0;2;2
729;2;56;27;9;0;2;2
738;2;42;28;9;0;2;2
740;2;51;26;8;1;2;2
742;2;74;22;10;0;2;4
760;1;51;23;10;0;2;2
763;2;61;24;8;1;2;4
765;1;48;11;4;9;3;6
767;2;64;29;10;0;2;2
774;2;72;28;10;1;2;2
