index	Ideges	Feszült
3	1	1
4	4	4
8	4	4
25	5	5
28	2	2
30	1	2
41	1	2
54	2	2
57	4	4
60	4	4
62	1	1
65	1	1
67	4	4
70	5	6
76	5	5
80	2	2
92	4	4
95	1	1
103	4	4
105	1	1
113	1	1
119	3	3
123	6	6
129	3	4
131	3	3
134	2	2
141	4	5
143	2	2
146	1	5
147	6	6
152	1	1
162	2	1
167	3	3
169	1	1
171	6	6
174	1	2
176	4	4
179	4	4
182	1	1
184	6	5
189	3	3
191	6	6
192	2	4
199	5	5
201	2	2
211	1	2
216	2	2
220	2	2
222	1	2
223	2	2
230	1	1
235	2	2
238	3	3
241	5	5
250	4	4
257	1	1
258	2	2
268	3	3
271	3	3
272	1	1
278	4	4
279	2	2
285	4	4
291	2	2
292	2	2
299	4	2
305	1	3
307	1	1
311	1	1
318	2	4
321	2	4
322	4	4
324	2	2
326	1	2
327	3	5
332	2	3
341	2	2
344	2	2
345	2	2
349	2	2
351	2	2
356	1	1
361	2	2
363	2	3
369	2	1
370	3	3
380	2	2
396	2	1
397	4	4
401	2	4
402	5	5
417	4	4
421	2	2
426	1	1
441	4	5
443	1	1
449	2	1
453	1	1
457	2	2
466	1	1
485	2	3
491	1	1
492	2	2
500	2	2
506	2	2
510	2	2
511	2	2
514	1	1
517	1	1
518	3	3
519	2	3
522	2	3
524	3	3
529	4	4
531	4	3
536	4	3
549	2	2
552	3	3
554	4	1
564	3	3
568	3	3
577	3	3
580	4	4
583	1	1
595	2	2
599	1	1
603	1	1
604	2	2
606	1	1
608	2	3
609	1	1
615	2	6
621	4	4
623	2	5
635	4	4
641	2	2
643	2	2
646	4	5
647	3	3
651	3	3
653	3	2
659	4	2
664	1	1
669	3	3
673	1	1
685	2	3
686	3	3
687	6	6
691	2	2
693	2	1
695	3	3
698	2	1
701	4	4
707	1	1
710	2	2
711	1	1
712	6	6
715	1	1
716	2	2
718	6	6
719	3	3
721	4	4
724	2	2
727	3	2
728	1	1
729	2	3
738	1	1
740	1	2
742	4	4
760	1	1
763	3	2
765	4	4
767	1	1
774	1	1
780	3	2
781	2	2
786	3	3
787	1	1
793	1	1
796	1	2
798	5	5
799	2	2
806	1	1
807	3	3
808	3	2
809	4	5
813	2	2
815	1	1
816	2	2
818	4	3
825	3	3
829	4	5
830	1	1
833	2	1
835	1	1
836	5	5
840	3	2
855	1	1
856	1	1
873	2	2
874	5	5
875	3	3
876	2	3
884	1	1
885	1	1
890	2	3
892	1	1
894	4	4
895	3	4
896	3	3
898	3	3
899	2	2
903	3	3
906	4	4
907	4	4
909	1	1
910	2	2
919	6	6
922	2	2
923	2	1
924	2	3
926	3	3
962	4	4
963	4	4
967	1	1
973	6	6
