Klaszter;PTelj;Pboldog;Pmagany;KLgyak;method;k;type;HC
KL1;22,76;7,447;3,133;497;Min;4;nstand;1,92
KL2;26,00;1,000;4,000;1;Min;4;nstand;0,00
KL3;22,00;0,0000;10,00;1;Min;4;nstand;0,00
KL4;0,0000;0,0000;10,00;1;Min;4;nstand;0,00
KL1; 0,01; 0,02;-0,01;497;Min;4;stand;1,92
KL2; 0,76;-3,02; 0,27;1;Min;4;stand;0,00
KL3;-0,16;-3,49; 2,24;1;Min;4;stand;0,00
KL4;-5,23;-3,49; 2,24;1;Min;4;stand;0,00
KL1;.;.;.;497;Min;4;viz;1,92
KL2;M;A++++;.;1;Min;4;viz;0,00
KL3;.;A++++;M++++;1;Min;4;viz;0,00
KL4;A++++;A++++;M++++;1;Min;4;viz;0,00
KL1;21,72;7,643;1,336;140;Min;5;nstand;0,51
KL2;19,22;5,390;5,744;82;Min;5;nstand;1,03
KL3;26,27;9,110;0,677;155;Min;5;nstand;0,23
KL4;24,76;7,822;6,511;90;Min;5;nstand;0,44
KL5;13,36;2,242;7,030;33;Min;5;nstand;1,48
KL1;-0,23; 0,11;-0,60;140;Min;5;stand;0,51
KL2;-0,81;-0,95; 0,84;82;Min;5;stand;1,03
KL3; 0,82; 0,80;-0,81;155;Min;5;stand;0,23
KL4; 0,47; 0,20; 1,10;90;Min;5;stand;0,44
KL5;-2,15;-2,43; 1,27;33;Min;5;stand;1,48
KL1;.;.;(A);140;Min;5;viz;0,51
KL2;A;A;M;82;Min;5;viz;1,03
KL3;M;M;A;155;Min;5;viz;0,23
KL4;(M);.;M+;90;Min;5;viz;0,44
KL5;A++++;A++++;M+;33;Min;5;viz;1,48
KL1;24,49;8,565;0,822;269;Max;4;nstand;0,51
KL2;23,43;7,715;5,797;123;Max;4;nstand;0,62
KL3;20,80;4,492;6,729;59;Max;4;nstand;0,96
KL4;13,51;3,755;5,102;49;Max;4;nstand;1,76
KL1; 0,41; 0,55;-0,77;269;Max;4;stand;0,51
KL2; 0,16; 0,15; 0,86;123;Max;4;stand;0,62
KL3;-0,44;-1,37; 1,17;59;Max;4;stand;0,96
KL4;-2,12;-1,72; 0,63;49;Max;4;stand;1,76
KL1;.;(M);A;269;Max;4;viz;0,51
KL2;.;.;M;123;Max;4;viz;0,62
KL3;(A);A+;M+;59;Max;4;viz;0,96
KL4;A++++;A+++;(M);49;Max;4;viz;1,76
KL1;23,18;7,322;5,993;149;Ward;3;nstand;0,73
KL2;24,47;8,563;0,830;270;Ward;3;nstand;0,51
KL3;16,00;3,691;5,728;81;Ward;3;nstand;1,81
KL1; 0,11;-0,04; 0,93;149;Ward;3;stand;0,73
KL2; 0,40; 0,55;-0,76;270;Ward;3;stand;0,51
KL3;-1,55;-1,75; 0,84;81;Ward;3;stand;1,81
KL1;.;.;M;149;Ward;3;viz;0,73
KL2;.;(M);A;270;Ward;3;viz;0,51
KL3;A++;A+++;M;81;Ward;3;viz;1,81
KL1;24,57;7,574;6,525;101;Ward;5;nstand;0,50
KL2;26,39;9,135;0,669;148;Ward;5;nstand;0,22
KL3;17,77;5,880;4,747;75;Ward;5;nstand;0,97
KL4;22,15;7,785;1,230;135;Ward;5;nstand;0,42
KL5;15,80;2,268;7,341;41;Ward;5;nstand;1,65
KL1; 0,43; 0,08; 1,10;101;Ward;5;stand;0,50
KL2; 0,85; 0,82;-0,82;148;Ward;5;stand;0,22
KL3;-1,14;-0,72; 0,52;75;Ward;5;stand;0,97
KL4;-0,13; 0,18;-0,63;135;Ward;5;stand;0,42
KL5;-1,59;-2,42; 1,37;41;Ward;5;stand;1,65
KL1;.;.;M+;101;Ward;5;viz;0,50
KL2;M;M;A;148;Ward;5;viz;0,22
KL3;A+;A;(M);75;Ward;5;viz;0,97
KL4;.;.;(A);135;Ward;5;viz;0,42
KL5;A++;A++++;M+;41;Ward;5;viz;1,65
