|| ROPstat 2;0; a legutóbbi számottevõ revízió idõpontja: 2017. május.;;;;;;;;;;;;;;
|| A ROPstat olyan statisztikai programcsomag; amely a standard egyváltozós módszerek teljes repertoárja;;;;;;;;;;;;;;;
|| mellett gazdag választékát nyújtja a robusztus technikáknak és az ordinális skálájú változókkal végezhetõ;;;;;;;;;;;;;;;;
|| elemzéseknek. A ROPstat megkülönböztetett figyelmet szentel a mintázatfeltáró eljárásoknak is.;;;;;;;;;;;;;;;;
|| A ROPstat szerzõi:;;;;;;;;;;;;;;;;
||   - Prof. Dr. Vargha András; Károli Gáspár Református Egyetem Pszichológiai Intézete; Budapest;;;;;;;;;;;;;;
||   - Bánsági Péter matematikus mérnök; Budajenõ;;;;;;;;;;;;;;;
|| Konzultáns: Prof. Dr. Lars R. Bergman; Stockholm University; Department of Psychology;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Az input fájl neve: C:\Users\tamas\OneDrive\RStudio Projects\stat\hazifeladatok\7_ora\hka5.msw;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Kijelölt klaszterváltozó kiértékelése; illetve validálása szimulációval;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
A beolvasott összes eset száma:   500;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Az alkalmazott távolságmérték: Átlagos négyzetes eltérés (ASED);;;;;;;;;;;;;;;;
Az összes kiválasztott változóra érvényes adattal rendelkezõ esetek száma: N = 500;;;;;;;;;;;;;;;;
A jelen elemzésben csak ezek az esetek vesznek részt.;;;;;;;;;;;;;;;;
Az elemzés során a változókat standardizáljuk.;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
EESS% = Megmagyarázott hibaszázalék (Explained Error Sum of Squares %);;;;;;;;;;;;;;;;
  - Többdimenziós eta-négyzet (megmagyarázott varianciaarány);;;;;;;;;;;;;;;;
Pontbisz = Pontbiszeriális korrelációs együttható (PB);;;;;;;;;;;;;;;;
  - Korrelációs együttható az azonos/különbözõ klaszterbe tartozás;;;;;;;;;;;;;;;;
    és az esetek távolsága között az esetekbõl képzett összes pár mintájában.;;;;;;;;;;;;;;;;
XBmod = Módosított Xie-Beni klaszter adekvációs index;;;;;;;;;;;;;;;;
  - XBmod azt méri; hogy az esetek átlagos távolsága a saját klasztercentrumtól;;;;;;;;;;;;;;;
    mennyivel kisebb; mint a két legközelebbi klaszter távolsága.;;;;;;;;;;;;;;;
Sil.eh. = Silhouette együttható (SC);;;;;;;;;;;;;;;;
  - SC azt méri; hogy az esetek mennyivel vannak közelebb saját klasztercentrumukhoz;;;;;;;;;;;;;;;
    a legközelebbi idegen klaszter centrumához.;;;;;;;;;;;;;;;;
HCátlag = Klaszter homogenitási együtthatók klasztermérettel súlyozott átlaga;;;;;;;;;;;;;;;;
CLdelta = Klaszter delta együttható; mely az azonos és a különbözõ klaszterekbe;;;;;;;;;;;;;;;
    tartozó esetek közti távolságátlagok eltérésének a Cohen-deltához hasonló indexe.;;;;;;;;;;;;;;;;
Mennyivel vannak közelebb egymáshoz az azonos; mint a különbözõ klaszterek esetei?;;;;;;;;;;;;;;;
GDI24 = A (2;4) indexû általánosított Dunn-féle klaszter adekvációs index;;;;;;;;;;;;;;;
  - GDI24 azt méri; hogy a két legközelebbi klaszter távolsága mennyivel nagyobb;;;;;;;;;;;;;;;
    mint a páronkénti távolságok átlaga a legheterogénebb klaszterben.;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
ALAPSTATISZTIKÁK a komplett esetekre;;;;;;;;;;;;;;;;
Index;Változó      ;Súly;Átlag;Szórás;Min;Max;;;;;;;;;;
1;PTelj              ;1;0;22;72;4;342;0;30;;;;;;;
2;Pboldog          ;1;0;7;404;2;122;0;10;;;;;;;
3;Pmagány          ;1;0;3;162;3;57;0;10;;;;;;;
;;;;;;;;;;;;;;;;
Az adott változósúlyokkal kiszámított átlagvariancia = 10;89909;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
_____________________;;;;;;;;;;;;;;;;
KLASZTERSTATISZTIKÁK;;;;;;;;;;;;;;;;
Klaszterváltozó: clust;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Klaszterkód: 1;;Gyak=78;Homogenitási együttható: HC = 0;47;;;;;;;;;;;;
Változó: ;PTelj;Pboldog;Pmagány;;;;;;;;;;;;;
Átlag: ;25;22;7;667;6;808;;;;;;;;;;
Szórás: ;1;584;1;136;1;620;;;;;;;;;;
Min: ;22;5;4;;;;;;;;;;;;;
Max: ;28;10;10;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Klaszterkód: 2;;Gyak=162;Homogenitási együttható: HC = 0;25;;;;;;;;;;;;
Változó: ;PTelj;Pboldog;Pmagány;;;;;;;;;;;;;
Átlag: ;26;6;9;123;0;685;;;;;;;;;;
Szórás: ;1;857;0;694;0;902;;;;;;;;;;
Min: ;22;7;0;;;;;;;;;;;;;
Max: ;30;10;4;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Klaszterkód: 3;;Gyak=65;Homogenitási együttható: HC = 0;66;;;;;;;;;;;;
