PTelj;PBoldog;PMagány
25;9;7
23;9;1
20;6;9
24;7;0
21;7;4
23;8;5
28;5;8
22;8;0
24;5;0
19;6;10
24;10;0
30;9;0
23;7;4
25;8;4
12;4;3
29;9;1
19;8;6
24;8;1
24;6;9
27;8;0
21;8;3
26;8;10
24;8;1
27;9;9
20;5;5
23;8;1
17;6;9
26;10;0
18;9;1
27;7;6
19;8;0
17;7;1
25;9;1
25;9;1
22;8;3
27;8;1
24;6;2
20;6;5
28;9;0
24;8;0
22;6;4
17;5;8
17;7;0
23;7;0
26;9;3
25;9;7
22;7;6
16;9;0
28;9;0
25;8;2
26;10;0
25;9;1
15;8;7
16;2;8
13;8;10
22;8;0
24;8;3
22;8;1
24;9;9
23;8;1
24;8;6
27;9;1
23;8;5
26;9;1
14;2;8
16;5;2
23;5;8
29;9;0
24;8;7
24;9;2
22;9;0
26;8;4
24;8;3
26;10;0
22;5;9
20;5;8
24;9;1
26;9;1
28;8;5
24;9;4
26;9;9
25;8;0
26;8;0
24;7;1
25;8;0
20;7;5
25;8;2
24;10;1
9;2;2
24;7;5
25;9;7
20;7;3
25;9;7
26;8;1
27;9;9
28;9;0
26;9;2
22;9;0
17;5;3
22;7;3
22;6;1
26;9;1
15;7;5
22;8;2
15;6;2
23;7;7
26;9;3
24;9;2
24;8;1
18;8;3
18;7;10
25;9;3
30;9;0
25;9;0
17;7;0
21;5;5
24;8;2
24;8;1
20;9;2
20;8;6
20;10;2
23;8;1
13;6;2
29;10;1
21;7;6
22;7;4
28;10;0
26;10;0
26;9;0
21;5;5
24;8;8
27;9;2
22;9;0
6;3;5
26;9;3
26;7;7
15;3;7
22;7;2
17;3;2
24;5;6
17;3;9
25;7;7
28;10;1
15;2;8
27;10;0
21;8;2
24;8;1
24;3;8
19;2;8
26;7;4
24;7;3
24;8;5
28;9;5
24;9;2
22;8;6
29;10;0
6;3;9
28;9;2
27;8;8
14;2;8
22;8;5
21;5;5
27;8;0
24;7;3
28;10;0
27;9;0
28;9;0
26;8;1
22;10;0
23;10;0
24;8;1
11;4;9
29;10;0
28;10;1
14;7;0
19;3;8
25;7;2
30;10;0
24;9;0
24;9;2
27;7;5
26;9;1
27;10;0
22;8;1
26;1;4
19;5;3
19;5;2
24;7;1
25;7;1
19;7;5
25;8;8
22;0;10
24;10;1
29;10;0
25;8;5
24;7;0
21;7;3
21;9;4
26;9;1
24;8;1
21;2;1
23;7;2
27;9;2
25;9;0
25;10;0
23;8;0
22;7;2
22;7;7
22;7;5
19;8;5
19;8;5
25;8;0
19;9;1
25;9;1
26;8;2
30;10;0
27;10;7
21;8;0
22;9;2
26;9;8
24;8;1
19;5;4
24;7;0
25;10;2
25;10;0
11;2;10
12;6;3
25;8;7
24;9;1
24;7;1
24;6;0
25;7;5
27;9;0
25;8;1
19;9;0
25;10;2
27;10;0
20;8;5
20;9;0
23;7;6
26;9;0
27;8;0
19;7;6
26;9;0
24;8;0
26;9;1
26;8;0
17;2;9
26;8;8
22;5;5
29;9;0
24;7;4
22;8;0
23;8;7
21;7;6
28;10;0
27;7;4
13;0;10
26;8;5
23;5;6
29;7;0
21;8;6
27;4;2
26;9;1
23;8;2
24;8;8
21;7;4
15;5;5
23;7;4
20;6;4
15;5;5
24;9;0
21;7;5
27;9;0
25;9;1
24;9;9
25;7;8
26;9;0
26;8;9
11;4;2
18;2;8
23;8;1
27;10;0
21;10;3
25;8;4
28;7;4
17;3;9
24;3;8
23;9;0
16;0;10
8;2;2
22;8;0
19;6;1
29;10;1
19;3;1
24;8;1
16;6;4
21;7;2
30;9;0
23;9;2
26;9;0
21;4;6
15;3;10
23;9;0
28;7;5
13;6;0
17;10;1
23;9;2
23;7;3
29;9;1
20;5;7
26;9;1
21;7;5
25;9;0
23;8;2
27;9;0
22;8;2
27;10;0
28;8;7
22;8;0
21;6;6
18;8;8
12;7;6
24;5;0
23;7;1
22;6;4
27;9;0
23;6;7
15;3;5
27;10;0
22;6;2
24;8;1
28;9;3
18;9;0
22;9;7
18;7;4
26;9;3
28;10;0
23;8;1
17;9;0
24;7;5
19;7;0
13;2;8
27;9;7
22;6;9
26;10;0
22;7;6
28;10;0
21;2;5
28;9;3
16;5;7
25;8;4
25;9;0
23;8;3
11;3;8
22;8;2
23;7;7
18;7;8
23;7;8
17;2;7
23;9;0
16;8;3
24;8;0
20;10;1
24;8;2
23;6;3
27;8;9
23;7;7
23;8;2
26;2;8
25;8;1
24;9;7
23;8;0
27;9;2
16;5;0
27;10;0
26;8;1
20;6;8
22;5;0
20;6;5
19;7;4
21;4;8
24;8;0
27;9;5
24;5;8
15;9;0
15;5;6
15;5;6
24;8;2
27;8;5
23;10;0
26;8;0
26;9;1
25;8;4
17;6;1
25;9;1
27;8;5
24;9;1
27;10;0
22;9;1
20;8;9
24;8;1
22;7;2
21;4;8
13;2;5
28;8;1
27;8;2
23;8;2
24;7;2
23;8;2
16;6;9
18;3;9
24;9;0
11;3;2
25;5;0
24;5;5
22;8;3
23;8;0
26;8;8
25;10;0
27;8;2
22;7;6
11;4;2
26;9;1
27;10;0
26;10;0
22;8;4
20;7;2
26;9;1
22;8;0
28;9;0
24;10;0
27;9;8
20;7;3
24;8;1
24;7;5
18;8;7
26;10;0
25;10;0
26;8;8
25;8;7
25;6;5
0;0;10
24;8;0
21;9;2
27;9;1
19;3;7
23;9;0
19;5;3
25;8;2
26;9;0
27;9;2
17;7;3
26;8;0
28;10;1
19;7;3
28;10;0
17;7;1
25;9;0
23;7;8
22;9;0
14;2;2
18;5;1
27;9;2
17;6;6
26;9;9
25;6;1
23;8;1
23;6;8
27;10;1
24;5;7
21;8;2
14;5;6
16;0;10
21;6;6
20;5;5
19;3;5
25;7;7
26;9;5
25;9;7
27;7;1
25;10;1
19;8;1
18;8;2
27;8;0
19;8;0
24;8;0
27;9;0
26;8;0
27;10;0
26;8;2
25;9;2
16;4;3
20;7;1
25;7;6
26;8;1
26;8;8
28;9;0
24;8;7
21;3;7
