PTelj,PBoldog,PMagány,clust
25,9,7,1
23,9,1,2
20,6,9,3
24,7,0,4
21,7,4,4
23,8,5,3
28,5,8,1
22,8,0,4
24,5,0,4
19,6,10,3
24,10,0,2
30,9,0,2
23,7,4,4
25,8,4,1
12,4,3,5
29,9,1,2
19,8,6,3
24,8,1,4
24,6,9,1
27,8,0,2
21,8,3,4
26,8,10,1
24,8,1,4
27,9,9,1
20,5,5,3
23,8,1,4
17,6,9,3
26,10,0,2
18,9,1,4
27,7,6,1
19,8,0,4
17,7,1,4
25,9,1,2
25,9,1,2
22,8,3,4
27,8,1,2
24,6,2,4
20,6,5,3
28,9,0,2
24,8,0,4
22,6,4,4
17,5,8,3
17,7,0,4
23,7,0,4
26,9,3,2
25,9,7,1
22,7,6,3
16,9,0,4
28,9,0,2
25,8,2,4
26,10,0,2
25,9,1,2
15,8,7,3
16,2,8,5
13,8,10,3
22,8,0,4
24,8,3,4
22,8,1,4
24,9,9,1
23,8,1,4
24,8,6,1
27,9,1,2
23,8,5,3
26,9,1,2
14,2,8,5
16,5,2,5
23,5,8,1
29,9,0,2
24,8,7,1
24,9,2,2
22,9,0,2
26,8,4,1
24,8,3,4
26,10,0,2
22,5,9,1
20,5,8,3
24,9,1,2
26,9,1,2
28,8,5,1
24,9,4,2
26,9,9,1
25,8,0,2
26,8,0,2
24,7,1,4
25,8,0,2
20,7,5,3
25,8,2,4
24,10,1,2
9,2,2,5
24,7,5,1
25,9,7,1
20,7,3,4
25,9,7,1
26,8,1,2
27,9,9,1
28,9,0,2
26,9,2,2
22,9,0,2
17,5,3,5
22,7,3,4
22,6,1,4
26,9,1,2
15,7,5,3
22,8,2,4
15,6,2,4
23,7,7,1
26,9,3,2
24,9,2,2
24,8,1,4
18,8,3,4
18,7,10,3
25,9,3,2
30,9,0,2
25,9,0,2
17,7,0,4
21,5,5,3
24,8,2,4
24,8,1,4
20,9,2,4
20,8,6,3
20,10,2,4
23,8,1,4
13,6,2,4
29,10,1,2
21,7,6,3
22,7,4,4
28,10,0,2
26,10,0,2
26,9,0,2
21,5,5,3
24,8,8,1
27,9,2,2
22,9,0,2
6,3,5,5
26,9,3,2
26,7,7,1
15,3,7,5
22,7,2,4
17,3,2,5
24,5,6,3
17,3,9,5
25,7,7,1
28,10,1,2
15,2,8,5
27,10,0,2
21,8,2,4
24,8,1,4
24,3,8,5
19,2,8,5
26,7,4,1
24,7,3,4
24,8,5,3
28,9,5,1
24,9,2,2
22,8,6,3
29,10,0,2
6,3,9,5
28,9,2,2
27,8,8,1
14,2,8,5
22,8,5,3
21,5,5,3
27,8,0,2
24,7,3,4
28,10,0,2
27,9,0,2
28,9,0,2
26,8,1,2
22,10,0,2
23,10,0,2
24,8,1,4
11,4,9,5
29,10,0,2
28,10,1,2
14,7,0,4
19,3,8,5
25,7,2,4
30,10,0,2
24,9,0,2
24,9,2,2
27,7,5,1
26,9,1,2
