PTelj	PBoldog	PMagány	KClus9
25	9	7	1
23	9	1	4
20	6	9	3
24	7	0	4
21	7	4	5
23	8	5	5
28	5	8	1
22	8	0	4
24	5	0	4
19	6	10	3
24	10	0	2
30	9	0	2
23	7	4	5
25	8	4	1
12	4	3	6
29	9	1	2
19	8	6	5
24	8	1	4
24	6	9	1
27	8	0	2
21	8	3	4
26	8	10	1
24	8	1	4
27	9	9	1
20	5	5	5
23	8	1	4
17	6	9	3
26	10	0	2
18	9	1	7
27	7	6	1
19	8	0	7
17	7	1	7
25	9	1	2
25	9	1	2
22	8	3	4
27	8	1	2
24	6	2	4
20	6	5	5
28	9	0	2
24	8	0	4
22	6	4	5
17	5	8	3
17	7	0	7
23	7	0	4
26	9	3	2
25	9	7	1
22	7	6	5
16	9	0	7
28	9	0	2
25	8	2	4
26	10	0	2
25	9	1	2
15	8	7	3
16	2	8	8
13	8	10	3
22	8	0	4
24	8	3	4
22	8	1	4
24	9	9	1
23	8	1	4
24	8	6	1
27	9	1	2
23	8	5	5
26	9	1	2
14	2	8	8
16	5	2	6
23	5	8	9
29	9	0	2
24	8	7	1
24	9	2	4
22	9	0	4
26	8	4	1
24	8	3	4
26	10	0	2
22	5	9	9
20	5	8	3
24	9	1	4
26	9	1	2
28	8	5	1
24	9	4	1
26	9	9	1
25	8	0	4
26	8	0	2
24	7	1	4
25	8	0	4
20	7	5	5
25	8	2	4
24	10	1	2
9	2	2	6
24	7	5	5
25	9	7	1
20	7	3	5
25	9	7	1
26	8	1	4
27	9	9	1
28	9	0	2
26	9	2	2
22	9	0	4
17	5	3	6
22	7	3	5
22	6	1	4
26	9	1	2
15	7	5	3
22	8	2	4
15	6	2	6
23	7	7	1
26	9	3	2
24	9	2	4
24	8	1	4
18	8	3	7
18	7	10	3
25	9	3	2
30	9	0	2
25	9	0	2
17	7	0	7
21	5	5	5
24	8	2	4
24	8	1	4
20	9	2	7
20	8	6	5
20	10	2	7
23	8	1	4
13	6	2	6
29	10	1	2
21	7	6	5
22	7	4	5
28	10	0	2
26	10	0	2
26	9	0	2
21	5	5	5
24	8	8	1
27	9	2	2
22	9	0	4
6	3	5	8
26	9	3	2
26	7	7	1
15	3	7	8
22	7	2	4
17	3	2	6
24	5	6	5
17	3	9	8
25	7	7	1
28	10	1	2
15	2	8	8
27	10	0	2
21	8	2	4
24	8	1	4
24	3	8	9
19	2	8	9
26	7	4	1
24	7	3	4
24	8	5	1
28	9	5	1
24	9	2	4
22	8	6	5
29	10	0	2
6	3	9	8
28	9	2	2
27	8	8	1
14	2	8	8
22	8	5	5
21	5	5	5
27	8	0	2
24	7	3	4
28	10	0	2
27	9	0	2
28	9	0	2
26	8	1	4
22	10	0	2
23	10	0	2
24	8	1	4
11	4	9	8
29	10	0	2
28	10	1	2
14	7	0	7
19	3	8	9
25	7	2	4
30	10	0	2
24	9	0	2
24	9	2	4
27	7	5	1
26	9	1	2
27	10	0	2
22	8	1	4
26	1	4	9
19	5	3	6
19	5	2	6
24	7	1	4
25	7	1	4
19	7	5	5
25	8	8	1
22	0	10	9
24	10	1	2
29	10	0	2
25	8	5	1
24	7	0	4
21	7	3	5
21	9	4	5
26	9	1	2
24	8	1	4
21	2	1	6
23	7	2	4
27	9	2	2
25	9	0	2
25	10	0	2
23	8	0	4
22	7	2	4
22	7	7	5
22	7	5	5
19	8	5	5
19	8	5	5
25	8	0	4
19	9	1	7
25	9	1	2
26	8	2	4
30	10	0	2
27	10	7	1
21	8	0	4
22	9	2	4
26	9	8	1
24	8	1	4
19	5	4	5
24	7	0	4
25	10	2	2
25	10	0	2
11	2	10	8
12	6	3	6
25	8	7	1
24	9	1	4
24	7	1	4
24	6	0	4
25	7	5	1
27	9	0	2
25	8	1	4
19	9	0	7
25	10	2	2
27	10	0	2
20	8	5	5
20	9	0	7
23	7	6	5
26	9	0	2
27	8	0	2
19	7	6	5
26	9	0	2
24	8	0	4
26	9	1	2
26	8	0	2
17	2	9	8
26	8	8	1
22	5	5	5
29	9	0	2
24	7	4	5
22	8	0	4
23	8	7	1
21	7	6	5
28	10	0	2
27	7	4	1
13	0	10	8
26	8	5	1
23	5	6	5
29	7	0	2
21	8	6	5
27	4	2	4
26	9	1	2
23	8	2	4
24	8	8	1
21	7	4	5
15	5	5	6
23	7	4	5
20	6	4	5
15	5	5	6
24	9	0	2
21	7	5	5
27	9	0	2
25	9	1	2
24	9	9	1
25	7	8	1
26	9	0	2
26	8	9	1
11	4	2	6
18	2	8	9
23	8	1	4
27	10	0	2
21	10	3	7
25	8	4	1
28	7	4	1
17	3	9	8
24	3	8	9
23	9	0	4
16	0	10	8
8	2	2	6
22	8	0	4
19	6	1	7
29	10	1	2
19	3	1	6
24	8	1	4
16	6	4	6
21	7	2	4
30	9	0	2
23	9	2	4
26	9	0	2
21	4	6	9
15	3	10	8
23	9	0	4
28	7	5	1
13	6	0	6
17	10	1	7
23	9	2	4
23	7	3	4
29	9	1	2
20	5	7	3
26	9	1	2
21	7	5	5
25	9	0	2
23	8	2	4
27	9	0	2
22	8	2	4
27	10	0	2
28	8	7	1
22	8	0	4
21	6	6	5
18	8	8	3
12	7	6	3
24	5	0	4
23	7	1	4
22	6	4	5
27	9	0	2
23	6	7	5
15	3	5	6
27	10	0	2
22	6	2	4
24	8	1	4
28	9	3	2
18	9	0	7
22	9	7	1
18	7	4	5
26	9	3	2
28	10	0	2
23	8	1	4
17	9	0	7
24	7	5	5
19	7	0	7
13	2	8	8
27	9	7	1
22	6	9	3
26	10	0	2
22	7	6	5
28	10	0	2
21	2	5	9
28	9	3	2
16	5	7	3
25	8	4	1
25	9	0	2
23	8	3	4
11	3	8	8
22	8	2	4
23	7	7	1
18	7	8	3
23	7	8	1
17	2	7	8
23	9	0	4
16	8	3	7
24	8	0	4
20	10	1	7
24	8	2	4
23	6	3	5
27	8	9	1
23	7	7	1
23	8	2	4
26	2	8	9
25	8	1	4
24	9	7	1
23	8	0	4
27	9	2	2
16	5	0	6
27	10	0	2
26	8	1	4
20	6	8	3
22	5	0	4
20	6	5	5
19	7	4	5
21	4	8	9
24	8	0	4
27	9	5	1
24	5	8	9
15	9	0	7
15	5	6	3
15	5	6	3
24	8	2	4
27	8	5	1
23	10	0	2
26	8	0	2
26	9	1	2
25	8	4	1
17	6	1	6
25	9	1	2
27	8	5	1
24	9	1	4
27	10	0	2
22	9	1	4
20	8	9	3
24	8	1	4
22	7	2	4
21	4	8	9
13	2	5	8
28	8	1	2
27	8	2	2
23	8	2	4
24	7	2	4
23	8	2	4
16	6	9	3
18	3	9	9
24	9	0	2
11	3	2	6
25	5	0	4
24	5	5	5
22	8	3	4
23	8	0	4
26	8	8	1
25	10	0	2
27	8	2	2
22	7	6	5
11	4	2	6
26	9	1	2
27	10	0	2
26	10	0	2
22	8	4	5
20	7	2	7
26	9	1	2
22	8	0	4
28	9	0	2
24	10	0	2
27	9	8	1
20	7	3	5
24	8	1	4
24	7	5	5
18	8	7	3
26	10	0	2
25	10	0	2
26	8	8	1
25	8	7	1
25	6	5	5
0	0	10	8
24	8	0	4
21	9	2	7
27	9	1	2
19	3	7	9
23	9	0	4
19	5	3	6
25	8	2	4
26	9	0	2
27	9	2	2
17	7	3	7
26	8	0	2
28	10	1	2
19	7	3	5
28	10	0	2
17	7	1	7
25	9	0	2
23	7	8	1
22	9	0	4
14	2	2	6
18	5	1	6
27	9	2	2
17	6	6	3
26	9	9	1
25	6	1	4
23	8	1	4
23	6	8	5
27	10	1	2
24	5	7	9
21	8	2	4
14	5	6	3
16	0	10	8
21	6	6	5
20	5	5	5
19	3	5	9
25	7	7	1
26	9	5	1
25	9	7	1
27	7	1	4
25	10	1	2
19	8	1	7
18	8	2	7
27	8	0	2
19	8	0	7
24	8	0	4
27	9	0	2
26	8	0	2
27	10	0	2
26	8	2	4
25	9	2	2
16	4	3	6
20	7	1	7
25	7	6	1
26	8	1	4
26	8	8	1
28	9	0	2
24	8	7	1
21	3	7	9
