Klaszter;PTelj;Pboldog;Pmagany;KLgyak;k;type;HC
KL1;25.2;7.684;6.772;79;6;nstand;0.47
KL2;26.1;9.125;0.656;160;6;nstand;0.24
KL3;19.46;6.523;6.108;65;6;nstand;0.66
KL4;21.98;7.609;1.504;133;6;nstand;0.46
KL5;15.04;4.44;1.8;25;6;nstand;0.84
KL6;16.5;2.316;7.868;38;6;nstand;1.44
KL1;0.57;0.13;1.18;79;6;stand;0.47
KL2;0.78;0.81;-0.82;160;6;stand;0.24
KL3;-0.75;-0.42;0.96;65;6;stand;0.66
KL4;-0.17;0.1;-0.54;133;6;stand;0.46
KL5;-1.77;-1.4;-0.45;25;6;stand;0.84
KL6;-1.43;-2.4;1.54;38;6;stand;1.44
KL1;(M);.;M+;79;6;pattern;0.47
KL2;M;M;A;160;6;pattern;0.24
KL3;A;.;M;65;6;pattern;0.66
KL4;.;.;(A);133;6;pattern;0.46
KL5;A+++;A+;(A);25;6;pattern;0.84
KL6;A++;A++++;M++;38;6;pattern;1.44
KL1;25.2;7.684;6.772;79;7;nstand;0.47
KL2;26.1;9.125;0.656;160;7;nstand;0.24
KL3;19.46;6.523;6.108;65;7;nstand;0.66
KL4;21.98;7.609;1.504;133;7;nstand;0.46
KL5;15.04;4.44;1.8;25;7;nstand;0.84
KL6;13.72;2.12;8.28;25;7;nstand;1.03
KL7;21.85;2.692;7.077;13;7;nstand;0.61
KL1;0.57;0.13;1.18;79;7;stand;0.47
KL2;0.78;0.81;-0.82;160;7;stand;0.24
KL3;-0.75;-0.42;0.96;65;7;stand;0.66
KL4;-0.17;0.1;-0.54;133;7;stand;0.46
KL5;-1.77;-1.4;-0.45;25;7;stand;0.84
KL6;-2.07;-2.49;1.67;25;7;stand;1.03
KL7;-0.2;-2.22;1.28;13;7;stand;0.61
KL1;(M);.;M+;79;7;pattern;0.47
KL2;M;M;A;160;7;pattern;0.24
KL3;A;.;M;65;7;pattern;0.66
KL4;.;.;(A);133;7;pattern;0.46
KL5;A+++;A+;(A);25;7;pattern;0.84
KL6;A++++;A++++;M+++;25;7;pattern;1.03
KL7;.;A++++;M+;13;7;pattern;0.61
KL1;25.2;7.684;6.772;79;8;nstand;0.47
KL2;26.1;9.125;0.656;160;8;nstand;0.24
KL3;19.46;6.523;6.108;65;8;nstand;0.66
KL4;22.97;7.528;1.557;106;8;nstand;0.32
KL5;15.04;4.44;1.8;25;8;nstand;0.84
KL6;18.07;7.926;1.296;27;8;nstand;0.34
KL7;13.72;2.12;8.28;25;8;nstand;1.03
KL8;21.85;2.692;7.077;13;8;nstand;0.61
KL1;0.57;0.13;1.18;79;8;stand;0.47
KL2;0.78;0.81;-0.82;160;8;stand;0.24
KL3;-0.75;-0.42;0.96;65;8;stand;0.66
KL4;0.06;0.06;-0.53;106;8;stand;0.32
KL5;-1.77;-1.4;-0.45;25;8;stand;0.84
KL6;-1.07;0.25;-0.61;27;8;stand;0.34
KL7;-2.07;-2.49;1.67;25;8;stand;1.03
KL8;-0.2;-2.22;1.28;13;8;stand;0.61
KL1;(M);.;M+;79;8;pattern;0.47
KL2;M;M;A;160;8;pattern;0.24
KL3;A;.;M;65;8;pattern;0.66
KL4;.;.;(A);106;8;pattern;0.32
KL5;A+++;A+;(A);25;8;pattern;0.84
KL6;A+;.;(A);27;8;pattern;0.34
KL7;A++++;A++++;M+++;25;8;pattern;1.03
KL8;.;A++++;M+;13;8;pattern;0.61
KL1;25.2;7.684;6.772;79;9;nstand;0.47
KL2;26.1;9.125;0.656;160;9;nstand;0.24
KL3;16.76;6.2;7.32;25;9;nstand;0.6
KL4;22.97;7.528;1.557;106;9;nstand;0.32
KL5;21.15;6.725;5.35;40;9;nstand;0.33
KL6;15.04;4.44;1.8;25;9;nstand;0.84
KL7;18.07;7.926;1.296;27;9;nstand;0.34
KL8;13.72;2.12;8.28;25;9;nstand;1.03
KL9;21.85;2.692;7.077;13;9;nstand;0.61
KL1;0.57;0.13;1.18;79;9;stand;0.47
KL2;0.78;0.81;-0.82;160;9;stand;0.24
KL3;-1.37;-0.57;1.36;25;9;stand;0.6
KL4;0.06;0.06;-0.53;106;9;stand;0.32
KL5;-0.36;-0.32;0.72;40;9;stand;0.33
KL6;-1.77;-1.4;-0.45;25;9;stand;0.84
KL7;-1.07;0.25;-0.61;27;9;stand;0.34
KL8;-2.07;-2.49;1.67;25;9;stand;1.03
KL9;-0.2;-2.22;1.28;13;9;stand;0.61
KL1;(M);.;M+;79;9;pattern;0.47
KL2;M;M;A;160;9;pattern;0.24
KL3;A+;(A);M+;25;9;pattern;0.6
KL4;.;.;(A);106;9;pattern;0.32
KL5;.;.;M;40;9;pattern;0.33
KL6;A+++;A+;(A);25;9;pattern;0.84
KL7;A+;.;(A);27;9;pattern;0.34
KL8;A++++;A++++;M+++;25;9;pattern;1.03
KL9;.;A++++;M+;13;9;pattern;0.61
KL1;24.85;7.698;7.774;53;10;nstand;0.38
KL2;26.1;9.125;0.656;160;10;nstand;0.24
KL3;16.76;6.2;7.32;25;10;nstand;0.6
KL4;22.97;7.528;1.557;106;10;nstand;0.32
KL5;21.15;6.725;5.35;40;10;nstand;0.33
KL6;25.92;7.654;4.731;26;10;nstand;0.18
KL7;15.04;4.44;1.8;25;10;nstand;0.84
KL8;18.07;7.926;1.296;27;10;nstand;0.34
KL9;13.72;2.12;8.28;25;10;nstand;1.03
KL10;21.85;2.692;7.077;13;10;nstand;0.61
KL1;0.49;0.14;1.51;53;10;stand;0.38
KL2;0.78;0.81;-0.82;160;10;stand;0.24
KL3;-1.37;-0.57;1.36;25;10;stand;0.6
KL4;0.06;0.06;-0.53;106;10;stand;0.32
KL5;-0.36;-0.32;0.72;40;10;stand;0.33
KL6;0.74;0.12;0.51;26;10;stand;0.18
KL7;-1.77;-1.4;-0.45;25;10;stand;0.84
KL8;-1.07;0.25;-0.61;27;10;stand;0.34
KL9;-2.07;-2.49;1.67;25;10;stand;1.03
KL10;-0.2;-2.22;1.28;13;10;stand;0.61
KL1;(M);.;M++;53;10;pattern;0.38
KL2;M;M;A;160;10;pattern;0.24
KL3;A+;(A);M+;25;10;pattern;0.6
KL4;.;.;(A);106;10;pattern;0.32
KL5;.;.;M;40;10;pattern;0.33
KL6;M;.;(M);26;10;pattern;0.18
KL7;A+++;A+;(A);25;10;pattern;0.84
KL8;A+;.;(A);27;10;pattern;0.34
KL9;A++++;A++++;M+++;25;10;pattern;1.03
KL10;.;A++++;M+;13;10;pattern;0.61
