status_id;text
1386214953301024776;Thread by @Johnheretohelp: Many months ago myself and a small team of specialist began studying the coronavirus, covid-19. We wanted to learn more about it of course, we wanted to ascertain whether it was man-made ...… https://t.co/FqyOOSfZdT
1386214947349217285;"@underwearboy420 First, u need a gas mask
Second thats not a good sign"
1386214946598363138;"TODAY YOU DENY
RAW MATERIALS FOR
COVID-19 VACCINE
DON'T WORRY
THIS IS NEW INDIA
#America_Exposed 
@POTUS 
#JoeBiden"
1386214944396353540;@Dubey_junior03 @MAJORshailendra @megirish2001 Don't worry about it,give him paracetamol 650.Its normal side effect my uncle also had same.The fever shows a good immune response against vaccine.If fever is persistent despite taking paracetamol 650,get him test for Covid cause It may be breakthrough covid.
1386214930337079296;"Covid 🌚
#coronavirus https://t.co/FGI8f0tdO8"
1386214929468903425;@Suplexcuck1991 @kobetwofour1997 @davemeltzerWON Moreover, the problem isn't really like WWE couldn't sellout in a normal day, they can't do the 130k obviously but they may have done like 65-70k if there was no pandemic. I guess 2 things influenced it this year, people not wanting to do major shows- covid fears and no big match
1386214928994951169;Hi  #COVIDIOTS . Since the pandemic isn’t real and the virus is fake, I am happy to pay for flights to India so that you can prove what a fake virus is. No PPE required just your expert proof that Covid is fake 👍
1386214926503481348;"@PiyuK @ArvindKejriwal @AamAadmiParty Rubika Liyaquat send a request for assistance for her known Covid patient.
But never got any response from government.
Great surprise,you got a call without any request
AAP's commercial advertisement even during pandemic."
1386214925597478916;@noidapolice In the light of current widespread covid pandemic, Are there any ways to register complaints or file an FIR without visiting the police station?
1386214925022810114;@DianeMariePosts Bet you the f*cker is vaccinated, though poses as anti-vaxxer, anti-mask.
1386214922972016640;"Muli bwanji? (How r u?). Looking forward to session with Zambian 🇿🇲 Colleagues to talk about vaccine confidence 💉 #1Zambia1Nation

Zambia has just started COVID-19 vaccinations. We are not safe until we are all safe! @Docbeecee  @zcphp @geemurie @afromedwoman #vaccinEquity. https://t.co/FCFqTyIvpc"
1386214922766458880;"...run on field with players during kids fun day.
-No pregame autographs.
-Limited attendance
-Have to wear a mask on concourse

I'm probably forgetting things. Now I know why I'm just not feeling it right now."
1386214919607963648;"Even as more and more of our fellow citizens get infected by the virus, all the Modi Govt is focused on is face-saving &amp; patch-work. 

How much more devastation should India suffer before they step up to their duties? 

https://t.co/4damhwB3j9"
1386214917435318275;"@JAnthony818 @IGN Mads Mikkelsen said he walked out of his audition for Dr. Doom in Fantastic Four, ""I find it rude to ask people to come into a room and say one line while pretending you have a metal mask like the iron man."""
1386214911357841408;@LekkaMercedez The mask is slipping
1386214909050974212;India Fastest to Administer 14 Crore Doses of Covid-19 Vaccine, Says Health Ministry https://t.co/s8dPjU3OoG
1386214907444613121;@JennyTweeteroo The only way to make people wear a mask is to bring up a hefty fine. That's the only way.
1386214905062338560;@ThatAlexWoman Why does a man who hates masks wear a mask? https://t.co/exgzIcGOGt
1386214899693461504;"Wear mask 
Mask is mass https://t.co/HTOda9H7Ua"
1386214886544351234;@hwaixly mad in mask 😭👎🏼
1386214886393335812;"@minliangtan @SGinIndia @IAF_MCC @ChangiAirport @PMOIndia @MEAIndia @SpokespersonMoD @IndiainSingapor Mask is not a problem here Sir, oxygen is.
But really appreciate your thoughts &amp; support. At one end where America stopped vaccination raw material for India while the same forced India to give them medicine last year, it's nice to see how Asia is helping each other 🙏🏼❤️"
1386214884753481728;@designs_william @at_m4tt Exactly. They’re arguments make no sense. I’ll freely admit I don’t think I’ve met anyone like this IRL - other than people that have like come in town with no mask on, which there isn’t really any excuse for anymore
1386214883088285700;"@stu1smartcookie @twose_brian @emmakennytv They don't need a reason. They - for they own reasons - want lockdown.

Why else did Boris say it was LOCKDOWN, NOT VACCINES that pulled down numbers? Because they want to keep LOCKDOWN as a tool.

COVID is a coronavirus virus and it WILL bounce back in autumn/winter anyway!"
1386214878780674053;India fastest in world to administer over 14 crore COVID-19 vaccine doses: Government
1386214876540964866;@DeborahMeaden @curiocat13 Ive almost got to the stage of thinking if you want to march with hundreds NO Mask.Then if you get ill with Covid don't expect to go to hospital.
1386214876171972609;@doctor_oxford For those pro anti mask people put a god dame mask on so u don't spread it to pregnant women and kill them or possible there baby or would u be happy knowing u killed them kind of people. Use up god dame brains.if u have any!!!!!!! https://t.co/IYVqp1rgpj
1386214871373688833;"""New Zealand hosts 50,000 fans in its largest concert since the pandemic began."" by BY NATASHA FROST via NYT New York Times https://t.co/uXzNMg6VY3"
1386214867053563904;"""The pandemic battered companies, but C.E.O. pay remains stratospheric."" by BY DAVID GELLES via NYT New York Times https://t.co/WtQfyDGUU5"
1386214868232069120;"""The U.S. is under pressure to release vaccine supplies amid India’s deadly virus surge."" by BY SOMINI SENGUPTA via NYT New York Times https://t.co/8BQRvii6pi"
1386214862066487296;"""Cambodia closes all markets in Phnom Penh to contain surging infections, leaving many pleading for food."" by BY REUTERS via NYT New York Times https://t.co/GXVGHxsorz"
1386214873886085122;"""Spanish police arrested a man for spreading the coronavirus to 22 people."" by BY BRYAN PIETSCH via NYT New York Times https://t.co/Iu1RZZnXZw"
1386214864578822145;"""The Smithsonian will reopen the National Zoo and some other Washington-area venues in May."" by BY SARAH BAHR via NYT New York Times https://t.co/QP91cbwetW"
1386214863387643909;"""Johnson &amp; Johnson vaccinations will resume in the U.S., and other Covid news from this week."" by BY MADELEINE NGO AND ISABELLA GRULLÓN PAZ via NYT New York Times https://t.co/N7wVlHK4ca"
1386214833801121793;"""A three-day lockdown begins in Perth, Australia, after a case arises outside quarantine."" by BY YAN ZHUANG AND SHASHANK BENGALI via NYT New York Times https://t.co/6GdRcPkRzn"
1386214869524008968;"""At least 23 people died in a fire at a Baghdad hospital that treated Covid-19 patients."" by BY THE NEW YORK TIMES via NYT New York Times https://t.co/X93h1hmvG3"
1386214851307995141;"""As 20 die in another hospital tragedy, fears grow that India is undercounting Covid deaths."" by BY JEFFREY GETTLEMAN, SAMEER YASIR, HARI KUMAR AND SUHASINI RAJ via NYT New York Times https://t.co/L0Nldx2hIy"
1386214837248724996;"""As Covid-19 Devastates India, Deaths Go Undercounted"" by BY JEFFREY GETTLEMAN, SAMEER YASIR, HARI KUMAR, SUHASINI RAJ AND ATUL LOKE via NYT New York Times https://t.co/ph71p5DZvG"
1386214860380381184;"""As New York’s courts adapt to Covid-19, jury duty is changing, too."" by BY BENJAMIN WEISER via NYT New York Times https://t.co/7t7SYziTfV"
1386214870622752769;@fadnavis_amruta What is use of mask if you are going to use it such a way?
1386214864486535172;Covid in Uttar Pradesh: Coronavirus overwhelms India's most populous state https://t.co/tNe9jnlaMr
1386214864474058756;@nidhiliv @BSYBJP @narendramodi @AmitShah @DVSadanandGowda Its not Modi.. people of india should be blamed... not wearing mask, No social distancing...
